#,App name,Category,Distance value,Predict,Risk
131,fetch mobi,Entertainment,0.06823495865412024,0,0
132,xbox game streaming (preview),Entertainment,0.06657268170426056,0,0
133,ps remote play,Entertainment,0.08719062092922283,0,0
134,podcastone | one for podcasts,Entertainment,0.07266508813470136,0,0
135,monster school for minecraft pe,Entertainment,0.06456725755995828,0,0
136,maps of among us for minecraft pe,Entertainment,0.06470099667774086,0,0
137,the chosen,Entertainment,0.06703105590062104,0,0
138,patreon,Entertainment,0.06290855673889084,0,0
139,oculus,Entertainment,0.06906805640711215,0,0
140,9anime,Entertainment,0.06338403638074327,0,0
141,stellium daily horoscope,Entertainment,0.06228842247799588,0,0
142,lg tv plus,Entertainment,0.06976123782846465,0,0
143,mod superheroes for minecraft pe,Entertainment,0.07409200968523003,0,0
144,"avatoon - avatar creator, emoji maker & cartoon me",Entertainment,0.05570167537380647,0,0
145,squishy magic: 3d art coloring & diy toys maker,Entertainment,0.06511773940345368,0,0
146,nintendo switch online,Entertainment,0.08280871670702172,0,0
147,craft auto,Entertainment,0.06470099667774086,0,0
148,bbc america,Entertainment,0.06653726708074532,0,0
149,cartoon cat for mcpe,Entertainment,0.06445908460471565,0,0
150,funimation,Entertainment,0.06272027373823778,0,0
151,fgteev soundboard,Entertainment,0.0717001629549159,0,0
152,super model growth diary,Entertainment,0.0567490702253336,0,0
153,"no.pix - color by number, pixel art coloring book",Entertainment,0.06258503401360539,0,0
154,iqiyi video – dramas & movies,Entertainment,0.07199999999999995,0,0
155,dollify,Entertainment,0.07874911158493259,0,0
156,meme soundboard 2020,Entertainment,0.06481518481518476,0,0
157,crowddj,Entertainment,0.08128708352350515,0,0
158,xbox game pass,Entertainment,0.0685714285714285,0,0
159,sticky slime - fancy slime simulator asmr,Entertainment,0.06657754010695179,0,0
160,"free tv app: free movies, tv shows, live tv, news",Entertainment,0.06279196089082016,0,0
161,siren head game for mcpe,Entertainment,0.06470099667774086,0,0
162,elite emoji,Entertainment,0.06886577010910931,0,0
163,bikini city for mcpe,Entertainment,0.06456725755995828,0,0
164,shudder,Entertainment,0.0654512306289881,0,0
165,mod scary teacher helper (not official),Entertainment,0.06760728982951204,0,0
166,jbl portable: formerly named jbl connect,Entertainment,0.06602610587382153,0,0
167,100 sound buttons,Entertainment,0.07501519756838901,0,0
168,color by number for adults,Entertainment,0.06655922643029814,0,0
169,pet assistant - your pet translator,Entertainment,0.06994434137291275,0,0
170,playsmart - win gifts for your time spent playing,Entertainment,0.06453201970443347,0,0
171,my pony mod for mcpe,Entertainment,0.06209677419354837,0,0
172,"myanimelist - track your anime: anytime, anywhere",Entertainment,0.07204081632653057,0,0
173,pet pager,Entertainment,0.07066326530612242,0,0
174,mod among us for minecraft pe,Entertainment,0.06209677419354837,0,0
175,custom skin creator for minecraft,Entertainment,0.073609022556391,0,0
176,dailymotion - the home for videos that matter,Entertainment,0.07084148727984341,0,0
177,tricks toca life city world town 2020,Entertainment,0.061435495038079824,0,0
178,tv remote for sony tv (wifi & ir remote control),Entertainment,0.061860772022434826,0,0
179,glow music - free music player,Entertainment,0.058975229046487936,0,0
180,tv guide australia,Entertainment,0.07330340639028247,0,0
181,voice changer with effects,Entertainment,0.061792905081495646,0,0
182,"free movies - full hd movies , online cinema 2020",Entertainment,0.06353174603174601,0,0
183,recolor: adult coloring book - color and relax,Entertainment,0.061929307805596454,0,0
184,bomb with explosion and broken screen simulator,Entertainment,0.0632329911258047,0,0
185,"mobile messenger: live chat, instant messaging",Entertainment,0.06567121320890164,0,0
186,funny voice effect,Entertainment,0.061740094767617694,0,0
187,"facebook gaming: watch, play, and connect",Entertainment,0.06777983920841074,0,0
188,airscreen - airplay & cast & miracast & dlna,Entertainment,0.055075493612078974,0,0
189,funny tube english,Entertainment,0.06254501800720287,0,0
190,picolo drinking game,Entertainment,0.07068243858052765,0,0
191,hd movies - watch free full movie & online cinema,Entertainment,0.06330684241132,0,0
192,piggy infection mods,Entertainment,0.06456725755995828,0,0
193,ghost detector radar simulator,Entertainment,0.05853319429961766,0,0
194,stremio,Entertainment,0.07410182189681583,0,0
195,movieflix - free online movies hd,Entertainment,0.06956634978512828,0,0
196,universe,Entertainment,0,0,0
197,tv cast | samsung tv - hd movie streaming,Entertainment,0.06303317535545022,0,0
198,my talking pet,Entertainment,0.06318059299191373,0,0
199,lucky block mod for mcpe and lucky race map,Entertainment,0.06569646569646569,0,0
200,"eros now - movies, originals, music & tv shows",Entertainment,0.06495119787045252,0,0
201,tplayer - all format video player,Entertainment,0.06527002842404464,0,0
202,live channels,Entertainment,0.07580061264271785,0,0
203,land salzburg,Entertainment,0.06421020839625484,0,0
204,furniture for minecraft,Entertainment,0.06399416909620988,0,0
